trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.49404999999999877, 'e': 0.9583904655209385}",20,0,-146.6555101634667,"{0: 8, 1: 5, 2: 3, 3: 3, 4: 1}",0
86,False,"{'a': 0.49397999999999875, 'e': 0.9579113900670221}",20,0,-29.873969051353207,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
87,False,"{'a': 0.49390999999999874, 'e': 0.9574325540909583}",20,0,-142.76310129472157,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
88,False,"{'a': 0.4938399999999987, 'e': 0.9569539574730379}",25,9,-105.00958275557689,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 2}",1
89,False,"{'a': 0.4937699999999987, 'e': 0.956475600093612}",25,0,-55.20502261045853,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
90,False,"{'a': 0.4936999999999987, 'e': 0.955997481833091}",25,0,-98.88701733591544,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
91,False,"{'a': 0.4936299999999987, 'e': 0.9555196025719455}",30,0,-108.82721839742749,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
92,False,"{'a': 0.49355999999999867, 'e': 0.9550419621907056}",30,11,-19.585831085252202,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
93,False,"{'a': 0.49348999999999865, 'e': 0.9545645605699611}",30,0,-89.10593185098595,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
94,False,"{'a': 0.49341999999999864, 'e': 0.9540873975903619}",20,0,-97.96926943474524,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
95,False,"{'a': 0.4933499999999986, 'e': 0.9536104731326169}",20,0,-82.79474026572765,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
96,False,"{'a': 0.4932799999999986, 'e': 0.9531337870774953}",25,0,-175.80944001605954,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
97,False,"{'a': 0.4932099999999986, 'e': 0.9526573393058253}",25,12,-40.17679984057234,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 0.4931399999999986, 'e': 0.9521811296984952}",25,0,-96.4708545011443,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
99,False,"{'a': 0.49306999999999856, 'e': 0.9517051581364524}",20,0,-126.43748210065733,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
100,False,"{'a': 0.49299999999999855, 'e': 0.9512294245007041}",25,0,-134.01974488766058,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
101,False,"{'a': 0.49292999999999854, 'e': 0.950753928672317}",20,0,-97.23420619063239,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
102,False,"{'a': 0.4928599999999985, 'e': 0.9502786705324169}",20,0,-75.04655578364698,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
103,False,"{'a': 0.4927899999999985, 'e': 0.9498036499621894}",20,0,-152.1260453093435,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
104,False,"{'a': 0.4927199999999985, 'e': 0.9493288668428793}",25,0,-142.4113607960519,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
105,False,"{'a': 0.4926499999999985, 'e': 0.9488543210557909}",25,3,-76.61087706187284,"{0: 16, 1: 2, 2: 1, 3: 2, 4: 1}",1
106,False,"{'a': 0.49257999999999846, 'e': 0.9483800124822878}",20,0,-116.55894313464475,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
107,False,"{'a': 0.49250999999999845, 'e': 0.9479059410037927}",25,0,-130.23358287954972,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
108,False,"{'a': 0.49243999999999843, 'e': 0.9474321065017877}",25,0,-39.22966194181867,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
109,False,"{'a': 0.4923699999999984, 'e': 0.9469585088578143}",20,0,-112.36131467506819,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
110,False,"{'a': 0.4922999999999984, 'e': 0.946485147953473}",25,0,-139.95935091921768,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
111,False,"{'a': 0.4922299999999984, 'e': 0.9460120236704238}",25,0,-100.80014007637763,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
112,False,"{'a': 0.4921599999999984, 'e': 0.9455391358903853}",25,0,-70.65921333990656,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
113,False,"{'a': 0.49208999999999836, 'e': 0.9450664844951358}",20,0,-67.76869910206757,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
114,False,"{'a': 0.49201999999999835, 'e': 0.9445940693665122}",25,0,-68.65109034135283,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
115,False,"{'a': 0.49194999999999833, 'e': 0.9441218903864109}",20,0,-162.46914407558864,"{0: 8, 1: 2, 2: 6, 3: 3, 4: 1}",0
116,False,"{'a': 0.4918799999999983, 'e': 0.9436499474367872}",20,0,-74.49557877167979,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
117,False,"{'a': 0.4918099999999983, 'e': 0.9431782403996551}",20,0,-26.00811258659017,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
118,False,"{'a': 0.4917399999999983, 'e': 0.9427067691570883}",20,0,-92.29702843170755,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
119,False,"{'a': 0.4916699999999983, 'e': 0.9422355335912185}",25,0,-111.1134850624315,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
120,False,"{'a': 0.49159999999999826, 'e': 0.9417645335842371}",20,6,-63.063655372269906,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
121,False,"{'a': 0.49152999999999825, 'e': 0.9412937690183938}",20,0,-33.40162294365128,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
122,False,"{'a': 0.49145999999999823, 'e': 0.9408232397759978}",20,1,-24.483578765514515,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
